ID,Espnurse,target,NHP,NFP,HP,FP
145,juca,aroeira,40,40,26,14
148,juca,angico,30,4,29,11
148,juca,cating,22,2,28,10
148,juca,aroeira,43,7,33,11
46,jubranca,angico,44,6,45,16
46,jubranca,cating,24,9,24,2
46,jubranca,aroeira,25,13,27,8
19,jubranca,angico,43,5,37,9
19,jubranca,cating,9,4,22,2
19,jubranca,aroeira,32,9,32,16
56,jubranca,angico,31,4,38,13
56,jubranca,cating,23,4,26,3
56,jubranca,aroeira,35,18,38,11
70,jubranca,angico,38,16,20,9
70,jubranca,cating,24,1,14,5
70,jubranca,aroeira,31,10,43,16
68,jubranca,angico,30,8,43,9
68,jubranca,cating,33,2,19,2
68,jubranca,aroeira,26,11,41,12
22,jupreta,angico,30,16,45,18
22,jupreta,cating,38,4,28,2
22,jupreta,aroeira,39,8,30,14
98,jupreta,angico,52,8,22,8
98,jupreta,cating,23,4,70,6
98,jupreta,aroeira,35,9,32,12
20,jupreta,angico,33,16,32,10
20,jupreta,cating,32,1,22,3
20,jupreta,aroeira,29,11,30,14
126,jupreta,angico,26,3,20,10
126,jupreta,cating,27,7,19,2
126,jupreta,aroeira,28,9,39,9
125,jupreta,angico,47,8,30,8
125,jupreta,cating,27,1,23,2
125,jupreta,aroeira,28,7,28,8
25,marmeleiro,angico,36,19,30,8
25,marmeleiro,cating,25,4,25,4
25,marmeleiro,aroeira,33,11,36,11
48,marmeleiro,angico,18,5,42,8
48,marmeleiro,cating,24,2,24,5
48,marmeleiro,aroeira,41,10,32,13
51,marmeleiro,angico,57,14,47,47
51,marmeleiro,cating,36,2,28,5
51,marmeleiro,aroeira,37,10,24,9
61,marmeleiro,angico,50,11,44,10
61,marmeleiro,cating,37,5,25,3
61,marmeleiro,aroeira,36,12,30,7
72,marmeleiro,angico,46,15,13,6
72,marmeleiro,cating,26,3,50,6
72,marmeleiro,aroeira,32,17,29,9
62,mofumbo,angico,34,8,53,6
62,mofumbo,cating,29,2,21,3
62,mofumbo,aroeira,32,13,34,10
71,mofumbo,angico,29,6,25,6
71,mofumbo,cating,29,3,21,3
71,mofumbo,aroeira,43,12,40,10
60,mofumbo,angico,52,16,27,24
60,mofumbo,cating,23,5,20,6
60,mofumbo,aroeira,38,9,32,13
137,mofumbo,angico,33,9,29,8
137,mofumbo,cating,24,3,27,2
137,mofumbo,aroeira,38,8,29,10
119,mofumbo,angico,24,11,19,3
119,mofumbo,cating,24,4,21,2
119,mofumbo,aroeira,33,16,27,9
69,mororo,angico,30,15,24,3
69,mororo,cating,20,4,15,1
69,mororo,aroeira,43,9,38,13
79,mororo,angico,12,6,33,9
79,mororo,cating,31,6,30,5
79,mororo,aroeira,35,11,34,10
84,mororo,angico,33,6,31,6
84,mororo,cating,26,2,15,4
84,mororo,aroeira,37,12,42,12
152,mororo,angico,31,6,37,9
152,mororo,cating,25,2,36,6
152,mororo,aroeira,30,14,30,14
93,mororo,angico,39,17,23,11
93,mororo,cating,68,9,30,7
93,mororo,aroeira,27,6,29,9
52,paubranco,angico,30,10,35,12
52,paubranco,cating,46,10,21,4
52,paubranco,aroeira,32,11,43,10
28,paubranco,angico,35,4,25,13
28,paubranco,cating,25,4,30,2
28,paubranco,aroeira,34,21,14,8
110,paubranco,angico,41,15,37,10
110,paubranco,cating,16,2,40,2
110,paubranco,aroeira,31,13,26,11
33,paubranco,angico,27,7,40,4
33,paubranco,cating,17,2,30,3
33,paubranco,aroeira,31,11,18,32
146,paubranco,angico,66,25,32,2
146,paubranco,cating,25,2,30,3
146,paubranco,aroeira,41,12,41,9
101,pereiro,angico,33,13,34,9
101,pereiro,cating,23,4,31,3
101,pereiro,aroeira,35,8,35,10
82,pereiro,angico,58,16,51,13
82,pereiro,cating,21,1,28,4
82,pereiro,aroeira,33,18,39,20
66,pereiro,angico,28,8,32,7
66,pereiro,cating,26,2,38,4
66,pereiro,aroeira,32,9,33,7
129,pereiro,angico,35,8,44,7
129,pereiro,cating,32,6,13,4
129,pereiro,aroeira,30,12,37,9
147,pereiro,angico,38,8,33,14
147,pereiro,cating,16,2,31,3
147,pereiro,aroeira,46,12,38,8
32,umbu,angico,30,12,40,9
32,umbu,cating,24,4,33,5
32,umbu,aroeira,22,8,36,13
115,umbu,angico,24,20,38,8
115,umbu,cating,15,2,26,2
115,umbu,aroeira,25,7,28,11
158,umbu,angico,33,11,42,10
158,umbu,cating,25,5,30,3
158,umbu,aroeira,41,11,32,10
141,umbu,angico,41,11,33,2
141,umbu,cating,24,4,17,2
141,umbu,aroeira,35,9,39,13
143,umbu,angico,32,22,35,8
143,umbu,cating,25,2,21,3
143,umbu,aroeira,43,8,33,12
